"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"942",,"Calice con Foglie","calice-con-foglie-2","http://localhost:8888/sidi/shop/senza-categoria/calice-con-foglie-2/",,,"12/19/2013","12/19/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg","56","cm","44","cm","49","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"931","1802070","Vaso Conico Festonato &#8211; Mod. CF-75","vaso-conico-festonato-mod-cf-75","http://localhost:8888/sidi/shop/terra/vaso-conico-festonato-mod-cf-75/",,,"12/11/2013","12/11/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg","60","cm","43","cm","75","cm","Collezione Terra",,,,,,,,,"Yes","14","In Stock","No","No",,,,,,"Publish","Open"
,,"721",,"Collezione Terra","collezione-terra","http://localhost:8888/sidi/shop/senza-categoria/collezione-terra/",,,"11/18/2013","11/18/2013","Semplice","Hidden","No","No","No",,,,,,"kg",,"cm",,"cm",,"cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"584",,"Accessori di serie Woody","accessori-di-serie-woody-copy","http://localhost:8888/sidi/shop/senza-categoria/accessori-di-serie-woody-copy/",,,"11/17/2013","11/17/2013","Raggruppato","Catalog & Search","No","No","No",,,,,,"kg","47","cm",,"cm","64","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"476","M120080","Accessori di serie Woody","accessori-di-serie-woody-2","http://localhost:8888/sidi/shop/pet/accessori-di-serie-woody-2/","Porticina in PVC per mod. Woody maxi",,"11/13/2013","11/17/2013","Semplice","Catalog & Search","Yes","No","No",,,,,,"kg","47","cm",,"cm","64","cm","Collezione Pet",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"473","M120070","Accessori di serie Woody","accessori-di-serie-woody","http://localhost:8888/sidi/shop/pet/accessori-di-serie-woody/","Porticina in PVC per mod. Woody midi",,"11/13/2013","11/17/2013","Semplice","Catalog & Search","Yes","No","No",,,,,,"kg","35","cm",,"cm","47.5","cm","Collezione Pet",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"472","B226000 05000","Woody Maxi","woody-maxi","http://localhost:8888/sidi/shop/pet/woody-maxi/",,,"11/13/2013","12/06/2013","Semplice","Catalog & Search","Yes","No","No",,,,,,"kg","103.5","cm","129","cm","87.5","cm","Collezione Pet",,,,,,,,,"No",0,"In Stock","No","No",,,,,,"Publish","Open"
,,"471","B224000 05000","Woody Midi","woody-midi","http://localhost:8888/sidi/shop/pet/woody-midi/",,,"11/13/2013","12/06/2013","Semplice","Catalog & Search","Yes","No","No",,,,,,"kg","80","cm","95","cm","65","cm","Collezione Pet",,,,,,,,,"No",0,"In Stock","No","No",,,,,,"Publish","Open"
,,"470",,"Woody","woody","http://localhost:8888/sidi/shop/senza-categoria/woody/",,"[recent_products per_page=""12"" columns=""4"" orderby=""date"" order=""desc""][product id="""" sku=""""]","11/13/2013","12/11/2013","Raggruppato","Catalog & Search","No","No","No",,,,,,"kg",,"cm","62.5","cm","48","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"469","M120005","Accessori Vimini Grande","accessori-vimini-grande","http://localhost:8888/sidi/shop/pet/accessori-vimini-grande/","Porticina PVC - 3 viti con dadi ciechi",,"11/13/2013","12/06/2013","Semplice","Catalog & Search","No","No","No",,,,,,"kg",,"cm","62.5","cm","48","cm","Collezione Pet",,,,,,,,,"No",0,"In Stock","No","No",,,,,,"Publish","Open"
